feature_name,clinical_domain,source_table,source_column,transformation,measurement_window,timestamp_used,available_by_discharge,billing_derived,postdischarge_or_forward_looking,missingness_overall,missingness_by_partition,missingness_by_race_group,reason_for_inclusion_or_exclusion
los_trend_180d,Prior utilization,admissions/patients,los_trend_180d,see provenance audit / repo,prior 180d,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_diagnoses,Diagnosis / coding,diagnoses_icd,n_diagnoses,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
n_procedures,Diagnosis / coding,procedures_icd,n_procedures,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
n_meds_total,Medications,pharmacy/emar,n_meds_total,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_labs_total,Laboratory / physiology,labevents,n_labs_total,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_lab_item_types,Laboratory / physiology,labevents,n_lab_item_types,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
icu_flag,Admission / stay context,icustays,icu_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
icu_total_hrs,Admission / stay context,icustays,icu_total_hrs,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
prior_admissions_all,Prior utilization,admissions/patients,prior_admissions_all,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
creatinine_last,Laboratory / physiology,labevents,creatinine_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
creatinine_max,Laboratory / physiology,labevents,creatinine_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
creatinine_delta,Laboratory / physiology,labevents,creatinine_delta,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bun_last,Laboratory / physiology,labevents,bun_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
hemoglobin_last,Laboratory / physiology,labevents,hemoglobin_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
sodium_last,Laboratory / physiology,labevents,sodium_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
potassium_last,Laboratory / physiology,labevents,potassium_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
albumin_last,Laboratory / physiology,labevents,albumin_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
wbc_last,Laboratory / physiology,labevents,wbc_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
glucose_last,Laboratory / physiology,labevents,glucose_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
glucose_max,Laboratory / physiology,labevents,glucose_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bnp_last,Laboratory / physiology,admissions/patients,bnp_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
lactate_max,Laboratory / physiology,admissions/patients,lactate_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_critical_labs,Laboratory / physiology,labevents,n_critical_labs,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
sodium_abnormal,Laboratory / physiology,labevents,sodium_abnormal,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
potassium_abnormal,Laboratory / physiology,labevents,potassium_abnormal,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
wbc_high,Laboratory / physiology,labevents,wbc_high,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
troponin_max,Laboratory / physiology,admissions/patients,troponin_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
troponin_elevated,Laboratory / physiology,admissions/patients,troponin_elevated,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
inr_max,Laboratory / physiology,admissions/patients,inr_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bicarbonate_last,Laboratory / physiology,labevents,bicarbonate_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
magnesium_last,Laboratory / physiology,admissions/patients,magnesium_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
phosphate_last,Laboratory / physiology,admissions/patients,phosphate_last,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
bilirubin_max,Laboratory / physiology,labevents,bilirubin_max,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
hr_std,Admission / stay context,admissions/patients,hr_std,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
sbp_std,Laboratory / physiology,omr,sbp_std,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
gcs_min,Laboratory / physiology,admissions/patients,gcs_min,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
vasopressor_flag,Admission / stay context,admissions/patients,vasopressor_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
ventilator_flag,Admission / stay context,admissions/patients,ventilator_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
antibiotic_flag,Admission / stay context,admissions/patients,antibiotic_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
culture_positive_flag,Admission / stay context,admissions/patients,culture_positive_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
n_service_changes,Admission / stay context,admissions/patients,n_service_changes,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
stepdown_flag,Admission / stay context,admissions/patients,stepdown_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
ed_to_icu_flag,Admission / stay context,icustays,ed_to_icu_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
hypertension_flag,Admission / stay context,admissions/patients,hypertension_flag,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),yes,False,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",eligible
elix_arrhythmia,Diagnosis / coding,diagnoses_icd,elix_arrhythmia,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_valve,Diagnosis / coding,diagnoses_icd,elix_valve,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_pulm_circ,Diagnosis / coding,diagnoses_icd,elix_pulm_circ,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_pvd,Diagnosis / coding,diagnoses_icd,elix_pvd,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_htn,Diagnosis / coding,diagnoses_icd,elix_htn,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_htn_cx,Diagnosis / coding,diagnoses_icd,elix_htn_cx,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_paralysis,Diagnosis / coding,diagnoses_icd,elix_paralysis,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_neuro_other,Diagnosis / coding,diagnoses_icd,elix_neuro_other,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_copd,Diagnosis / coding,diagnoses_icd,elix_copd,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_dm,Diagnosis / coding,diagnoses_icd,elix_dm,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_dm_cx,Diagnosis / coding,diagnoses_icd,elix_dm_cx,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_hypothyroid,Diagnosis / coding,diagnoses_icd,elix_hypothyroid,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_renal,Diagnosis / coding,diagnoses_icd,elix_renal,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_liver,Diagnosis / coding,diagnoses_icd,elix_liver,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_peptic_ulcer,Diagnosis / coding,diagnoses_icd,elix_peptic_ulcer,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_aids,Diagnosis / coding,diagnoses_icd,elix_aids,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_lymphoma,Diagnosis / coding,diagnoses_icd,elix_lymphoma,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_mets,Diagnosis / coding,diagnoses_icd,elix_mets,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_solid_tumor,Diagnosis / coding,diagnoses_icd,elix_solid_tumor,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_rheumatoid,Diagnosis / coding,diagnoses_icd,elix_rheumatoid,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_coagulopathy,Diagnosis / coding,diagnoses_icd,elix_coagulopathy,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_obesity,Diagnosis / coding,diagnoses_icd,elix_obesity,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_weight_loss,Diagnosis / coding,diagnoses_icd,elix_weight_loss,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_fluid_electrolyte,Diagnosis / coding,diagnoses_icd,elix_fluid_electrolyte,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_anemia_blood_loss,Diagnosis / coding,diagnoses_icd,elix_anemia_blood_loss,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_anemia_deficiency,Diagnosis / coding,diagnoses_icd,elix_anemia_deficiency,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_alcohol,Diagnosis / coding,diagnoses_icd,elix_alcohol,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_drug,Diagnosis / coding,diagnoses_icd,elix_drug,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
elix_psychoses,Diagnosis / coding,diagnoses_icd,elix_psychoses,see provenance audit / repo,index stay,charttime/admittime <= dischtime (leakage audit),no (coding-time),True,False,0.0,"{""train"": 0.0, ""val"": 0.0, ""test"": 0.0}","{""White"": 0.0, ""Black"": 0.0}",excluded: billing-derived (coding-time availability not established)
